,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p
0,Njordind,Njordind,VanillaVAE,10,0.006733851650628645,0.002783205073058452
1,Njordind,Njordind,VanillaVAE,10,0.026906667663925576,0.08578017804312826
2,Njordind,Njordind,VanillaVAE,10,0.014123657798748135,0.15199631923056828
3,Njordind,Njordind,VanillaVAE,10,0.0033880548394152723,0.19774379978505477
4,Njordind,Njordind,VanillaVAE,10,0.005037609050431145,0.15199631923056828
5,Njordind,Njordind,VanillaVAE,10,0.013412662491932847,0.04541899021115892
6,Njordind,Njordind,VanillaVAE,10,0.0027711597844647176,0.25303977906339303
7,Njordind,Njordind,VanillaVAE,10,0.007395337116129893,0.006806179435775496
8,Njordind,Njordind,VanillaVAE,10,1.0679686357139059e-05,0.002783205073058452
9,Njordind,Njordind,VanillaVAE,10,0.0044406734914396095,0.11503649785001328
10,Njordind,Njordind,VanillaVAE,10,0.003594125866181187,0.006806179435775496
11,Njordind,Njordind,VanillaVAE,10,0.0035675423420961075,0.03219223124637178
12,Njordind,Njordind,VanillaVAE,10,0.00030094990952809884,0.02243304151007743
13,Njordind,Njordind,VanillaVAE,10,0.030546170697611452,0.15199631923056828
14,Njordind,Njordind,VanillaVAE,10,0.0003665754049144196,0.04541899021115892
15,Njordind,Njordind,VanillaVAE,10,0.0009142545495412811,7.052441913048601e-06
16,Njordind,Njordind,VanillaVAE,10,0.004516549344710119,0.08578017804312826
17,Njordind,Njordind,VanillaVAE,10,9.493594417668856e-05,0.02243304151007743
18,Njordind,Njordind,VanillaVAE,10,4.066221548433372e-05,0.010329637176077959
19,Njordind,Njordind,VanillaVAE,10,0.010683441859773657,0.15199631923056828
20,Njordind,Njordind,VanillaVAE,10,0.000789959345907598,0.04541899021115892
21,Njordind,Njordind,VanillaVAE,10,0.00290181215290208,0.02243304151007743
22,Njordind,Njordind,VanillaVAE,10,0.0011557749658058412,0.010329637176077959
23,Njordind,Njordind,VanillaVAE,10,0.0057678737502888594,0.010329637176077959
24,Njordind,Njordind,VanillaVAE,10,0.08008455274620663,0.31818120337184574
25,Njordind,Njordind,VanillaVAE,10,0.00011710866472677536,0.002783205073058452
26,Njordind,Njordind,VanillaVAE,10,0.04446639979089795,0.002783205073058452
27,Njordind,Njordind,VanillaVAE,10,0.002745955334091076,0.0017252080065113414
28,Njordind,Njordind,VanillaVAE,10,0.0016395151062682755,0.06297834565003745
29,Njordind,Njordind,VanillaVAE,10,0.00365685023030081,0.11503649785001328
30,Njordind,Njordind,VanillaVAE,10,0.01994032570798665,0.15199631923056828
31,Njordind,Njordind,VanillaVAE,10,6.881577191034291e-05,0.04541899021115892
32,Njordind,Njordind,VanillaVAE,10,0.011881431023637479,0.02243304151007743
33,Njordind,Njordind,VanillaVAE,10,4.1431478058822147e-05,0.015364482537903207
34,Njordind,Njordind,VanillaVAE,10,0.12488774643732248,0.02243304151007743
35,Njordind,Njordind,VanillaVAE,10,0.04973950489540091,0.11503649785001328
36,Njordind,Njordind,VanillaVAE,10,0.00048159509168927176,0.08578017804312826
37,Njordind,Njordind,VanillaVAE,10,0.0001594840100156736,0.00035640144010714247
38,Njordind,Njordind,VanillaVAE,10,0.004410645604465433,0.006806179435775496
39,Njordind,Njordind,VanillaVAE,10,0.0019800231247704345,0.11503649785001328
40,Njordind,Njordind,VanillaVAE,10,4.39782814731191e-05,0.04541899021115892
41,Njordind,Njordind,VanillaVAE,10,0.02468867106727457,0.03219223124637178
42,Njordind,Njordind,VanillaVAE,10,0.014105637812136917,0.25303977906339303
43,Njordind,Njordind,VanillaVAE,10,0.001435985130598654,0.08578017804312826
44,Njordind,Njordind,VanillaVAE,10,0.001866876966600442,0.02243304151007743
45,Njordind,Njordind,VanillaVAE,10,0.005949947784165303,0.15199631923056828
46,Njordind,Njordind,VanillaVAE,10,0.00046358923434537935,0.002783205073058452
47,Njordind,Njordind,VanillaVAE,10,0.0021907866460265627,0.0010451859722047311
48,Njordind,Njordind,VanillaVAE,10,0.00028113613289844076,0.11503649785001328
49,Njordind,Njordind,VanillaVAE,10,1.4370682187198171e-05,0.15199631923056828
50,Njordind,Njordind,VanillaVAE,10,0.0021513235081136563,0.11503649785001328
51,Njordind,Njordind,VanillaVAE,10,0.00025910905520104766,0.08578017804312826
52,Njordind,Njordind,VanillaVAE,10,0.001586956924155948,0.0017252080065113414
53,Njordind,Njordind,VanillaVAE,10,0.006189105844718501,0.04541899021115892
54,Njordind,Njordind,VanillaVAE,10,0.0005926232087519187,0.04541899021115892
55,Njordind,Njordind,VanillaVAE,10,0.010294800170959961,0.11503649785001328
56,Njordind,Njordind,VanillaVAE,10,0.03792335283114545,0.15199631923056828
57,Njordind,Njordind,VanillaVAE,10,0.0029849546558459875,0.02243304151007743
58,Njordind,Njordind,VanillaVAE,10,0.01643834839630609,0.11503649785001328
59,Njordind,Njordind,VanillaVAE,10,0.024328479885552756,0.03219223124637178
60,Njordind,Njordind,VanillaVAE,10,0.01399197897143789,0.06297834565003745
61,Njordind,Njordind,VanillaVAE,10,6.716472647993228e-05,0.006806179435775496
62,Njordind,Njordind,VanillaVAE,10,0.001880692548683796,0.03219223124637178
63,Njordind,Njordind,VanillaVAE,10,2.984336089827615e-05,0.0017252080065113414
64,Njordind,Njordind,VanillaVAE,10,0.0003706060728125158,0.02243304151007743
65,Njordind,Njordind,VanillaVAE,10,0.0009600254864913921,0.006806179435775496
66,Njordind,Njordind,VanillaVAE,10,0.003115270312927198,0.002783205073058452
67,Njordind,Njordind,VanillaVAE,10,0.002837960250968234,0.06297834565003745
68,Njordind,Njordind,VanillaVAE,10,0.002367441483136081,0.015364482537903207
69,Njordind,Njordind,VanillaVAE,10,0.003354487358509345,0.03219223124637178
70,Njordind,Njordind,VanillaVAE,10,2.4952852201068086e-05,3.228186739154365e-06
71,Njordind,Njordind,VanillaVAE,10,0.00010293344791065493,0.00020037382917069028
72,Njordind,Njordind,VanillaVAE,10,0.002471902766428003,0.11503649785001328
73,Njordind,Njordind,VanillaVAE,10,0.01030846268948682,0.02243304151007743
74,Njordind,Njordind,VanillaVAE,10,0.0024291288200507183,0.03219223124637178
75,Njordind,Njordind,VanillaVAE,10,0.0004220047857602215,0.02243304151007743
76,Njordind,Njordind,VanillaVAE,10,1.8165247276601955e-05,0.19774379978505477
77,Njordind,Njordind,VanillaVAE,10,0.00032601978342606803,0.006806179435775496
78,Njordind,Njordind,VanillaVAE,10,0.0002643378898975427,0.11503649785001328
79,Njordind,Njordind,VanillaVAE,10,0.0025844729650098116,0.11503649785001328
80,Njordind,Njordind,VanillaVAE,10,0.028002604775390516,0.11503649785001328
81,Njordind,Njordind,VanillaVAE,10,0.0019267409476458404,0.11503649785001328
82,Njordind,Njordind,VanillaVAE,10,8.389390598005972e-05,0.015364482537903207
83,Njordind,Njordind,VanillaVAE,10,0.006755752617570461,0.11503649785001328
84,Njordind,Njordind,VanillaVAE,10,0.006853508026770467,0.15199631923056828
85,Njordind,Njordind,VanillaVAE,10,2.1132961330866498e-06,0.06297834565003745
86,Njordind,Njordind,VanillaVAE,10,5.999936813434917e-06,0.11503649785001328
87,Njordind,Njordind,VanillaVAE,10,0.009601699967770605,0.006806179435775496
88,Njordind,Njordind,VanillaVAE,10,0.0016757221192896087,0.02243304151007743
89,Njordind,Njordind,VanillaVAE,10,0.009958384177276791,0.08578017804312826
90,Njordind,Njordind,VanillaVAE,10,0.00014153980298158985,0.25303977906339303
91,Njordind,Njordind,VanillaVAE,10,0.016342477292498825,0.11503649785001328
92,Njordind,Njordind,VanillaVAE,10,0.002625690897985599,0.02243304151007743
93,Njordind,Njordind,VanillaVAE,10,0.01895417565091817,0.11503649785001328
94,Njordind,Njordind,VanillaVAE,10,0.001398443312795932,0.010329637176077959
95,Njordind,Njordind,VanillaVAE,10,0.0003493574886840972,0.19774379978505477
96,Njordind,Njordind,VanillaVAE,10,0.0010089978629602202,0.25303977906339303
97,Njordind,Njordind,VanillaVAE,10,0.03782405215445006,0.11503649785001328
98,Njordind,Njordind,VanillaVAE,10,0.005291355687007753,0.31818120337184574
99,Njordind,Njordind,VanillaVAE,10,0.0005014277814289618,0.0006178973521373264
100,Njordind,Njordind,VanillaVAE,10,0.03173258472429075,0.11503649785001328
101,Njordind,Njordind,VanillaVAE,10,0.028188979414378923,0.11503649785001328
102,Njordind,Njordind,VanillaVAE,10,0.0036012449157931843,0.08578017804312826
103,Njordind,Njordind,VanillaVAE,10,0.0020008689369878157,0.19774379978505477
104,Njordind,Njordind,VanillaVAE,10,0.003753713313782474,0.015364482537903207
105,Njordind,Njordind,VanillaVAE,10,0.006828160849357044,0.04541899021115892
106,Njordind,Njordind,VanillaVAE,10,0.00800768675530028,0.11503649785001328
107,Njordind,Njordind,VanillaVAE,10,0.005651949167266335,0.04541899021115892
108,Njordind,Njordind,VanillaVAE,10,0.03132071557796168,0.11503649785001328
109,Njordind,Njordind,VanillaVAE,10,0.004040518470247793,0.11503649785001328
110,Njordind,Njordind,VanillaVAE,10,0.0004340792436589367,0.002783205073058452
111,Njordind,Njordind,VanillaVAE,10,0.0034389746642219956,0.02243304151007743
112,Njordind,Njordind,VanillaVAE,10,0.019024286080322694,0.02243304151007743
113,Njordind,Njordind,VanillaVAE,10,0.017649746296167446,0.02243304151007743
114,Njordind,Njordind,VanillaVAE,10,0.009861559279447096,0.04541899021115892
115,Njordind,Njordind,VanillaVAE,10,0.015863778949357865,0.02243304151007743
116,Njordind,Njordind,VanillaVAE,10,0.0020197998188257837,0.03219223124637178
117,Njordind,Njordind,VanillaVAE,10,0.0019399383532630148,0.004396267459114668
118,Njordind,Njordind,VanillaVAE,10,3.6849440589702694e-05,0.03219223124637178
119,Njordind,Njordind,VanillaVAE,10,0.010422939847032131,0.15199631923056828
120,Njordind,Njordind,VanillaVAE,10,0.014304971588626536,0.15199631923056828
121,Njordind,Njordind,VanillaVAE,10,0.0001562023188480371,0.02243304151007743
122,Njordind,Njordind,VanillaVAE,10,0.001030591248499823,0.02243304151007743
123,Njordind,Njordind,VanillaVAE,10,0.006968611265046716,0.11503649785001328
124,Njordind,Njordind,VanillaVAE,10,9.158955385275499e-05,0.002783205073058452
125,Njordind,Njordind,VanillaVAE,10,0.07421671641430683,0.11503649785001328
126,Njordind,Njordind,VanillaVAE,10,0.008432890184526864,0.06297834565003745
127,Njordind,Njordind,VanillaVAE,10,0.007501285746209452,0.15199631923056828
128,Njordind,Njordind,VanillaVAE,10,0.002455468238342591,0.06297834565003745
129,Njordind,Njordind,VanillaVAE,10,0.02930724161482745,0.11503649785001328
130,Njordind,Njordind,VanillaVAE,10,1.2535069948808836e-05,0.19774379978505477
131,Njordind,Njordind,VanillaVAE,10,0.016051072957067314,0.015364482537903207
132,Njordind,Njordind,VanillaVAE,10,0.005713693154224396,0.11503649785001328
133,Njordind,Njordind,VanillaVAE,10,0.0010667263424973918,0.11503649785001328
134,Njordind,Njordind,VanillaVAE,10,0.0019852160620040028,0.19774379978505477
135,Njordind,Njordind,VanillaVAE,10,0.0028150580528547497,0.04541899021115892
136,Njordind,Njordind,VanillaVAE,10,0.02454209144378927,0.002783205073058452
137,Njordind,Njordind,VanillaVAE,10,0.0019956389420331204,0.11503649785001328
138,Njordind,Njordind,VanillaVAE,10,0.035654719118753286,0.08578017804312826
139,Njordind,Njordind,VanillaVAE,10,0.004150528756230362,0.004396267459114668
140,Njordind,Njordind,VanillaVAE,10,0.005314063197055524,0.02243304151007743
141,Njordind,Njordind,VanillaVAE,10,0.0006808782049547307,0.015364482537903207
142,Njordind,Njordind,VanillaVAE,10,0.02670669489416888,0.08578017804312826
143,Njordind,Njordind,VanillaVAE,10,0.005572311803967303,0.15199631923056828
144,Njordind,Njordind,VanillaVAE,10,0.005246201545469301,0.002783205073058452
145,Njordind,Njordind,VanillaVAE,10,0.006261924142426366,0.004396267459114668
146,Njordind,Njordind,VanillaVAE,10,0.004503459821203818,0.04541899021115892
147,Njordind,Njordind,VanillaVAE,10,0.01940205484834423,0.08578017804312826
148,Njordind,Njordind,VanillaVAE,10,0.0002898090234071164,0.02243304151007743
149,Njordind,Njordind,VanillaVAE,10,0.001930793003364637,0.02243304151007743
150,Njordind,Njordind,VanillaVAE,10,0.0003857363655468921,0.02243304151007743
151,Njordind,Njordind,VanillaVAE,10,0.002762735163100392,0.11503649785001328
152,Njordind,Njordind,VanillaVAE,10,7.203153178517293e-05,0.010329637176077959
153,Njordind,Njordind,VanillaVAE,10,0.10648011805172675,0.11503649785001328
154,Njordind,Njordind,VanillaVAE,10,0.0084405251606956,0.08578017804312826
155,Njordind,Njordind,VanillaVAE,10,0.011275831521212809,0.19774379978505477
156,Njordind,Njordind,VanillaVAE,10,8.008940134320259e-06,0.11503649785001328
157,Njordind,Njordind,VanillaVAE,10,0.0003829438565710837,0.010329637176077959
