,ind_dataset,ood_dataset,rep_model,sample_size,vanilla_p,kn_p,loss,sampler
0,polyp_ind,polyp_ind,ResNetVAE,10,1.2484368163868577e-09,0.00020037382917069028,0.6117715835571289,ClusterSampler
1,polyp_ind,polyp_ind,ResNetVAE,10,1.0796021928529438e-07,0.00035640144010714247,0.44374175667762755,ClusterSampler
2,polyp_ind,polyp_ind,ResNetVAE,10,4.476078496820023e-06,0.06297834565003745,0.11447023749351501,ClusterSampler
3,polyp_ind,polyp_ind,ResNetVAE,10,5.054919657494562e-06,0.010329637176077959,0.21432653069496155,ClusterSampler
4,polyp_ind,polyp_ind,ResNetVAE,10,2.4388604669406625e-05,0.06297834565003745,0.5523055493831635,ClusterSampler
5,polyp_ind,polyp_ind,ResNetVAE,10,1.5808728274596894e-09,0.006806179435775496,0.5578476369380951,ClusterSampler
6,polyp_ind,polyp_ind,ResNetVAE,10,2.9335031105823794e-07,0.006806179435775496,0.21233043670654297,ClusterSampler
7,polyp_ind,polyp_ind,ResNetVAE,10,2.0408062200312993e-06,0.00020037382917069028,0.40627763867378236,ClusterSampler
8,polyp_ind,polyp_ind,ResNetVAE,10,5.702604680600104e-06,7.052441913048601e-06,0.20820151567459105,ClusterSampler
9,polyp_ind,polyp_ind,ResNetVAE,10,0.001137387552812581,0.25303977906339303,0.08966262936592102,ClusterSampler
10,polyp_ind,polyp_ind,ResNetVAE,10,1.7350663106940594e-07,0.04541899021115892,0.24788474440574645,ClusterSampler
11,polyp_ind,polyp_ind,ResNetVAE,10,1.5992710639354965e-07,0.15199631923056828,0.2683085024356842,ClusterSampler
0,polyp_ind,polyp_ind,ResNetVAE,10,2.6817030764720538e-05,0.15199631923056828,0.2383197069168091,RandomSampler
1,polyp_ind,polyp_ind,ResNetVAE,10,0.009010894844980624,0.31818120337184574,0.2645639002323151,RandomSampler
2,polyp_ind,polyp_ind,ResNetVAE,10,0.005200821478625401,0.39459210638345227,0.2253675103187561,RandomSampler
3,polyp_ind,polyp_ind,ResNetVAE,10,0.00012753116249668287,0.31818120337184574,0.4162703096866608,RandomSampler
4,polyp_ind,polyp_ind,ResNetVAE,10,0.00013061280172158436,0.19774379978505477,0.32126607894897463,RandomSampler
5,polyp_ind,polyp_ind,ResNetVAE,10,0.0001017017259138998,0.19774379978505477,0.30837271809577943,RandomSampler
6,polyp_ind,polyp_ind,ResNetVAE,10,5.945731696747624e-06,0.15199631923056828,0.2500943660736084,RandomSampler
7,polyp_ind,polyp_ind,ResNetVAE,10,0.00015785153323216708,0.06297834565003745,0.30478703379631045,RandomSampler
8,polyp_ind,polyp_ind,ResNetVAE,10,0.00011040502999473735,0.19774379978505477,0.28884015083312986,RandomSampler
9,polyp_ind,polyp_ind,ResNetVAE,10,3.5451135046644294e-05,0.11503649785001328,0.4715590298175812,RandomSampler
10,polyp_ind,polyp_ind,ResNetVAE,10,0.00024481983345422633,0.04541899021115892,0.4088434636592865,RandomSampler
11,polyp_ind,polyp_ind,ResNetVAE,10,3.937685270648759e-05,0.08578017804312826,0.4166033506393433,RandomSampler
0,polyp_ind,polyp_ind,ResNetVAE,10,1.8818822152028406e-12,0.002783205073058452,0.08241212368011475,SequentialSampler
1,polyp_ind,polyp_ind,ResNetVAE,10,0.0021027417140533403,0.04541899021115892,0.06737021803855896,SequentialSampler
2,polyp_ind,polyp_ind,ResNetVAE,10,2.1768053297680355e-06,0.31818120337184574,0.08997091054916381,SequentialSampler
3,polyp_ind,polyp_ind,ResNetVAE,10,8.28172119742901e-07,0.02243304151007743,0.12229036092758179,SequentialSampler
4,polyp_ind,polyp_ind,ResNetVAE,10,1.2484368163868577e-09,5.809627289330904e-05,0.6179640591144562,SequentialSampler
5,polyp_ind,polyp_ind,ResNetVAE,10,4.279843042635249e-10,0.002783205073058452,0.5002748012542725,SequentialSampler
6,polyp_ind,polyp_ind,ResNetVAE,10,1.4971690980741642e-10,2.9180030183082047e-10,0.2885370671749115,SequentialSampler
7,polyp_ind,polyp_ind,ResNetVAE,10,2.4388604669406625e-05,0.010329637176077959,0.45866873264312746,SequentialSampler
8,polyp_ind,polyp_ind,ResNetVAE,10,1.7345920158888364e-06,0.004396267459114668,0.6194147825241089,SequentialSampler
9,polyp_ind,polyp_ind,ResNetVAE,10,1.2337684764015563e-16,2.9797081712253577e-05,0.4333881318569183,SequentialSampler
10,polyp_ind,polyp_ind,ResNetVAE,10,1.315837537261076e-07,0.06297834565003745,0.26011759638786314,SequentialSampler
11,polyp_ind,polyp_ind,ResNetVAE,10,4.2319427209941875e-07,0.19774379978505477,0.33586835861206055,SequentialSampler
0,polyp_ind,polyp_ind,ResNetVAE,20,1.4709001144644481e-15,4.921800698157904e-11,0.35044209063053133,ClusterSampler
1,polyp_ind,polyp_ind,ResNetVAE,20,2.9502886777771605e-10,0.021515164959860632,0.561795037984848,ClusterSampler
2,polyp_ind,polyp_ind,ResNetVAE,20,8.307227663435887e-06,0.06966967333380593,0.1886705458164215,ClusterSampler
3,polyp_ind,polyp_ind,ResNetVAE,20,3.427316201170154e-09,0.009695991461466618,0.26403054893016814,ClusterSampler
4,polyp_ind,polyp_ind,ResNetVAE,20,1.1490597842869508e-14,0.0005718378976365663,0.42352613508701326,ClusterSampler
5,polyp_ind,polyp_ind,ResNetVAE,20,2.8211572196768464e-13,0.0029959756135691388,0.18075152933597566,ClusterSampler
0,polyp_ind,polyp_ind,ResNetVAE,20,9.794821116601823e-07,0.08617043964956975,0.29205661118030546,RandomSampler
1,polyp_ind,polyp_ind,ResNetVAE,20,3.5294976396968256e-08,0.15604654594757777,0.2777655303478241,RandomSampler
2,polyp_ind,polyp_ind,ResNetVAE,20,0.00014311220268879704,0.06966967333380593,0.4237558960914612,RandomSampler
3,polyp_ind,polyp_ind,ResNetVAE,20,6.450966986689262e-07,0.15604654594757777,0.3106285631656647,RandomSampler
4,polyp_ind,polyp_ind,ResNetVAE,20,9.611726648030854e-08,0.08617043964956975,0.3008600115776062,RandomSampler
5,polyp_ind,polyp_ind,ResNetVAE,20,9.392674727554513e-07,0.22350854805280182,0.36053310334682465,RandomSampler
0,polyp_ind,polyp_ind,ResNetVAE,20,3.607641490147569e-09,0.0008102864400840543,0.07489117085933686,SequentialSampler
1,polyp_ind,polyp_ind,ResNetVAE,20,3.427316201170154e-09,0.10580006435321504,0.10613063573837281,SequentialSampler
2,polyp_ind,polyp_ind,ResNetVAE,20,2.4533428173906603e-17,5.790280338456389e-07,0.5591194301843643,SequentialSampler
3,polyp_ind,polyp_ind,ResNetVAE,20,4.43496440812688e-10,6.052216955592254e-09,0.37360289990901946,SequentialSampler
4,polyp_ind,polyp_ind,ResNetVAE,20,3.691022831920833e-17,0.00012959974640395727,0.5264014571905136,SequentialSampler
5,polyp_ind,polyp_ind,ResNetVAE,20,3.711633853649277e-12,0.02763004285783495,0.29799297749996184,SequentialSampler
0,polyp_ind,polyp_ind,ResNetVAE,50,1.2143363436161648e-19,0.00019131863736034733,0.42312964916229245,ClusterSampler
1,polyp_ind,polyp_ind,ResNetVAE,50,3.72681167007024e-08,0.023284310416977406,0.2386970353126526,ClusterSampler
0,polyp_ind,polyp_ind,ResNetVAE,50,3.69135092793956e-14,0.04905569391040577,0.3043180096149445,RandomSampler
1,polyp_ind,polyp_ind,ResNetVAE,50,8.41294471350562e-12,0.01989177048074744,0.3475512397289276,RandomSampler
0,polyp_ind,polyp_ind,ResNetVAE,50,4.034789738092817e-13,0.0035218399057343214,0.1960015344619751,SequentialSampler
1,polyp_ind,polyp_ind,ResNetVAE,50,4.3575324669621036e-18,9.496857280483418e-05,0.4600567030906677,SequentialSampler
0,polyp_ind,polyp_ind,ResNetVAE,100,1.7790690724705933e-21,0.00013209773447200317,0.33091334223747254,ClusterSampler
0,polyp_ind,polyp_ind,ResNetVAE,100,2.676457670153873e-24,0.0012931184410822332,0.3080981689691544,RandomSampler
0,polyp_ind,polyp_ind,ResNetVAE,100,2.1650063252918847e-22,0.00018237809664865972,0.3280291187763214,SequentialSampler
0,polyp_ind,polyp_ood,ResNetVAE,10,4.0037241279626304e-10,5.809627289330904e-05,0.4039164543151855,ClusterSampler
1,polyp_ind,polyp_ood,ResNetVAE,10,2.8060926339606642e-14,0.010329637176077959,0.14317100048065184,ClusterSampler
2,polyp_ind,polyp_ood,ResNetVAE,10,2.6809198256140338e-15,7.052441913048601e-06,0.5802367091178894,ClusterSampler
3,polyp_ind,polyp_ood,ResNetVAE,10,2.609859060713148e-25,2.6527300166438223e-11,0.33371413946151735,ClusterSampler
4,polyp_ind,polyp_ood,ResNetVAE,10,2.4109356031055945e-20,5.786399985305171e-07,0.8294120788574219,ClusterSampler
5,polyp_ind,polyp_ood,ResNetVAE,10,1.3902284482117238e-10,0.0006178973521373264,0.7297592401504517,ClusterSampler
6,polyp_ind,polyp_ood,ResNetVAE,10,5.506294979847345e-14,0.002783205073058452,0.6252699613571167,ClusterSampler
7,polyp_ind,polyp_ood,ResNetVAE,10,2.128927462028379e-11,0.006806179435775496,0.3333409488201141,ClusterSampler
8,polyp_ind,polyp_ood,ResNetVAE,10,2.609859060713148e-25,2.6527300166438223e-11,0.6046262800693512,ClusterSampler
9,polyp_ind,polyp_ood,ResNetVAE,10,2.8708449667844585e-24,7.586807847601333e-09,0.5065522789955139,ClusterSampler
10,polyp_ind,polyp_ood,ResNetVAE,10,5.014202489936786e-12,0.11503649785001328,0.89936962723732,ClusterSampler
11,polyp_ind,polyp_ood,ResNetVAE,10,1.7225069800706742e-23,2.9180030183082047e-10,0.4343645215034485,ClusterSampler
12,polyp_ind,polyp_ood,ResNetVAE,10,1.7225069800706742e-23,8.085521090730372e-08,0.8462699592113495,ClusterSampler
13,polyp_ind,polyp_ood,ResNetVAE,10,9.090925615590427e-17,2.9797081712253577e-05,0.4968352556228638,ClusterSampler
14,polyp_ind,polyp_ood,ResNetVAE,10,1.477023714110869e-11,0.00010956692813324749,0.2338760495185852,ClusterSampler
15,polyp_ind,polyp_ood,ResNetVAE,10,0.0003502451518641784,0.19774379978505477,0.29067357778549197,ClusterSampler
16,polyp_ind,polyp_ood,ResNetVAE,10,7.651679083392952e-10,0.02243304151007743,0.4396393418312073,ClusterSampler
17,polyp_ind,polyp_ood,ResNetVAE,10,3.6661439294400877e-08,0.010329637176077959,0.5292793691158295,ClusterSampler
18,polyp_ind,polyp_ood,ResNetVAE,10,0.00011919570181030764,0.03219223124637178,0.4043841421604156,ClusterSampler
0,polyp_ind,polyp_ood,ResNetVAE,10,4.257724874901214e-06,0.06297834565003745,0.590987753868103,RandomSampler
1,polyp_ind,polyp_ood,ResNetVAE,10,1.4930078444072284e-12,0.00010956692813324749,0.4842617869377136,RandomSampler
2,polyp_ind,polyp_ood,ResNetVAE,10,3.3355440743306e-14,0.002783205073058452,0.6042077124118805,RandomSampler
3,polyp_ind,polyp_ood,ResNetVAE,10,1.669254644670058e-07,0.0006178973521373264,0.609248548746109,RandomSampler
4,polyp_ind,polyp_ood,ResNetVAE,10,4.0659721180774554e-12,5.809627289330904e-05,0.4840483903884888,RandomSampler
5,polyp_ind,polyp_ood,ResNetVAE,10,7.81773853887629e-08,0.00020037382917069028,0.6265791237354279,RandomSampler
6,polyp_ind,polyp_ood,ResNetVAE,10,1.6631360780802847e-05,0.04541899021115892,0.5596214294433594,RandomSampler
7,polyp_ind,polyp_ood,ResNetVAE,10,3.6661439294400877e-08,0.02243304151007743,0.30893722772598264,RandomSampler
8,polyp_ind,polyp_ood,ResNetVAE,10,2.358931161216165e-09,0.04541899021115892,0.5377056479454041,RandomSampler
9,polyp_ind,polyp_ood,ResNetVAE,10,3.370933177099763e-05,0.11503649785001328,0.5748299300670624,RandomSampler
10,polyp_ind,polyp_ood,ResNetVAE,10,5.881105642891048e-07,0.010329637176077959,0.37417048811912534,RandomSampler
11,polyp_ind,polyp_ood,ResNetVAE,10,4.355511953324977e-08,0.03219223124637178,0.506349790096283,RandomSampler
12,polyp_ind,polyp_ood,ResNetVAE,10,5.796588173137188e-05,1.4058938542208932e-06,0.11781148314476013,RandomSampler
13,polyp_ind,polyp_ood,ResNetVAE,10,1.8553742114790454e-05,2.6527300166438223e-11,0.0,RandomSampler
14,polyp_ind,polyp_ood,ResNetVAE,10,1.8553742114790454e-05,2.6527300166438223e-11,0.0,RandomSampler
15,polyp_ind,polyp_ood,ResNetVAE,10,1.8553742114790454e-05,2.6527300166438223e-11,0.0,RandomSampler
16,polyp_ind,polyp_ood,ResNetVAE,10,1.8553742114790454e-05,2.6527300166438223e-11,0.0,RandomSampler
17,polyp_ind,polyp_ood,ResNetVAE,10,1.8553742114790454e-05,2.6527300166438223e-11,0.0,RandomSampler
18,polyp_ind,polyp_ood,ResNetVAE,10,1.8553742114790454e-05,2.6527300166438223e-11,0.0,RandomSampler
0,polyp_ind,polyp_ood,ResNetVAE,10,9.205390484584954e-20,0.00035640144010714247,0.9065103113651276,SequentialSampler
1,polyp_ind,polyp_ood,ResNetVAE,10,2.356426664932779e-08,0.02243304151007743,0.7965454757213593,SequentialSampler
2,polyp_ind,polyp_ood,ResNetVAE,10,1.3862879717857145e-18,2.9797081712253577e-05,0.38813790678977966,SequentialSampler
3,polyp_ind,polyp_ood,ResNetVAE,10,4.5487058926299993e-07,0.006806179435775496,0.43759501576423643,SequentialSampler
4,polyp_ind,polyp_ood,ResNetVAE,10,2.1544158468110374e-08,1.4058938542208932e-06,0.48978612422943113,SequentialSampler
5,polyp_ind,polyp_ood,ResNetVAE,10,4.29157264285308e-09,0.0010451859722047311,0.5411876916885376,SequentialSampler
6,polyp_ind,polyp_ood,ResNetVAE,10,1.3618109480751837e-14,0.002783205073058452,0.28527820110321045,SequentialSampler
7,polyp_ind,polyp_ood,ResNetVAE,10,2.609859060713148e-25,2.6527300166438223e-11,0.7624589920043945,SequentialSampler
8,polyp_ind,polyp_ood,ResNetVAE,10,4.0037241279626304e-10,0.002783205073058452,0.3025931239128113,SequentialSampler
9,polyp_ind,polyp_ood,ResNetVAE,10,4.1728323914124146e-08,0.03219223124637178,0.561645096540451,SequentialSampler
10,polyp_ind,polyp_ood,ResNetVAE,10,1.1420221277868586e-20,8.085521090730372e-08,0.5235977232456207,SequentialSampler
11,polyp_ind,polyp_ood,ResNetVAE,10,1.0796021928529438e-07,0.004396267459114668,0.09658577442169189,SequentialSampler
12,polyp_ind,polyp_ood,ResNetVAE,10,7.464196913639601e-23,2.6527300166438223e-11,0.48631524443626406,SequentialSampler
13,polyp_ind,polyp_ood,ResNetVAE,10,2.609859060713148e-25,2.6527300166438223e-11,0.15138025879859923,SequentialSampler
14,polyp_ind,polyp_ood,ResNetVAE,10,6.472311642978452e-14,1.4058938542208932e-06,0.8049000144004822,SequentialSampler
15,polyp_ind,polyp_ood,ResNetVAE,10,2.3534970478379777e-14,0.015364482537903207,0.6859750390052796,SequentialSampler
16,polyp_ind,polyp_ood,ResNetVAE,10,9.241235863311873e-13,0.00010956692813324749,0.5919499278068543,SequentialSampler
17,polyp_ind,polyp_ood,ResNetVAE,10,1.9638437495287957e-05,0.02243304151007743,0.19353509545326233,SequentialSampler
18,polyp_ind,polyp_ood,ResNetVAE,10,1.315837537261076e-07,0.015364482537903207,0.362211149930954,SequentialSampler
0,polyp_ind,polyp_ood,ResNetVAE,20,8.534254555717451e-14,0.0005718378976365663,0.534659281373024,ClusterSampler
1,polyp_ind,polyp_ood,ResNetVAE,20,1.3759083815960167e-09,0.0029959756135691388,0.20745112597942353,ClusterSampler
2,polyp_ind,polyp_ood,ResNetVAE,20,1.0418981550990428e-15,0.00012959974640395727,0.2787877023220062,ClusterSampler
3,polyp_ind,polyp_ood,ResNetVAE,20,3.398300903548765e-14,0.016624704015678015,0.4882775813341141,ClusterSampler
4,polyp_ind,polyp_ood,ResNetVAE,20,1.0418981550990428e-15,0.0005718378976365663,0.5446444869041442,ClusterSampler
5,polyp_ind,polyp_ood,ResNetVAE,20,3.1125053108632665e-40,3.453865062349671e-13,0.6099038004875184,ClusterSampler
6,polyp_ind,polyp_ood,ResNetVAE,20,2.986595612009877e-25,7.345547838632435e-16,0.6503416210412979,ClusterSampler
7,polyp_ind,polyp_ood,ResNetVAE,20,2.7066236480533285e-19,2.5240761785358575e-05,0.5407772898674011,ClusterSampler
8,polyp_ind,polyp_ood,ResNetVAE,20,9.642657963562038e-20,1.1245396252925662e-08,0.6143485009670258,ClusterSampler
0,polyp_ind,polyp_ood,ResNetVAE,20,2.5577332283159383e-11,0.009695991461466618,0.4431472927331924,RandomSampler
1,polyp_ind,polyp_ood,ResNetVAE,20,1.4214373452919646e-13,0.016624704015678015,0.5634892165660859,RandomSampler
2,polyp_ind,polyp_ood,ResNetVAE,20,1.35000729084413e-15,0.00019044691571082809,0.6867480546236038,RandomSampler
3,polyp_ind,polyp_ood,ResNetVAE,20,1.0683863849461283e-12,0.001138145764743275,0.47300592064857483,RandomSampler
4,polyp_ind,polyp_ood,ResNetVAE,20,8.72929421995806e-12,1.04874841850777e-05,0.5988485664129257,RandomSampler
5,polyp_ind,polyp_ood,ResNetVAE,20,3.121541620798477e-13,0.007317362056681163,0.3760923773050308,RandomSampler
6,polyp_ind,polyp_ood,ResNetVAE,20,3.981553350948659e-10,3.613100901976941e-18,0.0480482280254364,RandomSampler
7,polyp_ind,polyp_ood,ResNetVAE,20,2.575197905924854e-10,6.788353033305671e-23,0.0,RandomSampler
8,polyp_ind,polyp_ood,ResNetVAE,20,2.575197905924854e-10,6.788353033305671e-23,0.0,RandomSampler
0,polyp_ind,polyp_ood,ResNetVAE,20,6.676835126358549e-17,0.0015848989781653158,0.8515278935432434,SequentialSampler
1,polyp_ind,polyp_ood,ResNetVAE,20,2.0412673201856496e-13,5.832644856796994e-05,0.41286646127700805,SequentialSampler
2,polyp_ind,polyp_ood,ResNetVAE,20,2.0345396959086433e-13,1.5915884392671625e-06,0.5154869079589843,SequentialSampler
3,polyp_ind,polyp_ood,ResNetVAE,20,4.8105505780586315e-28,1.1587364794052822e-07,0.5238685965538025,SequentialSampler
4,polyp_ind,polyp_ood,ResNetVAE,20,2.0138214594860055e-12,0.001138145764743275,0.4321191102266312,SequentialSampler
5,polyp_ind,polyp_ood,ResNetVAE,20,9.054686134524015e-15,3.8561225784092613e-05,0.3100917488336563,SequentialSampler
6,polyp_ind,polyp_ood,ResNetVAE,20,1.0375017702877556e-41,7.213303933190605e-19,0.3188477516174316,SequentialSampler
7,polyp_ind,polyp_ood,ResNetVAE,20,2.5967537360739967e-21,5.832644856796994e-05,0.7454375267028809,SequentialSampler
8,polyp_ind,polyp_ood,ResNetVAE,20,3.0593343819968546e-11,0.00012959974640395727,0.3927425116300583,SequentialSampler
0,polyp_ind,polyp_ood,ResNetVAE,50,1.5197526876152524e-19,0.00012030770807633029,0.3254741060733795,ClusterSampler
1,polyp_ind,polyp_ood,ResNetVAE,50,5.0713405927113596e-27,9.214159199916617e-08,0.48852799415588377,ClusterSampler
2,polyp_ind,polyp_ood,ResNetVAE,50,1.2032581658605787e-36,1.303660797297563e-18,0.6506586992740631,ClusterSampler
0,polyp_ind,polyp_ood,ResNetVAE,50,5.701162278425319e-24,6.457541418962002e-09,0.5005365622043609,RandomSampler
1,polyp_ind,polyp_ood,ResNetVAE,50,4.330745514905412e-28,2.1540431996748815e-05,0.50115673661232,RandomSampler
2,polyp_ind,polyp_ood,ResNetVAE,50,9.909429058719348e-20,1.0367072483612138e-23,0.274058563709259,RandomSampler
0,polyp_ind,polyp_ood,ResNetVAE,50,7.920592463932865e-28,2.499867876984005e-06,0.6037149667739868,SequentialSampler
1,polyp_ind,polyp_ood,ResNetVAE,50,5.490001384820331e-29,1.6883897664446674e-10,0.490632621049881,SequentialSampler
2,polyp_ind,polyp_ood,ResNetVAE,50,3.425914761578669e-35,1.6550663319631664e-16,0.41255580306053163,SequentialSampler
0,polyp_ind,polyp_ood,ResNetVAE,100,9.190840383145177e-37,3.9116824405390666e-09,0.40700105011463167,ClusterSampler
0,polyp_ind,polyp_ood,ResNetVAE,100,1.817104454986711e-48,4.262988941405386e-10,0.5266904401779174,RandomSampler
0,polyp_ind,polyp_ood,ResNetVAE,100,1.1870691373638576e-47,3.130608618305093e-11,0.5471737939119339,SequentialSampler
